OBJECTID,ORIGID,CountyName,PopulationCensus16,TimeStamp,IGEasting,IGNorthing,Lat,Long,UGI,ConfirmedCovidCases,PopulationProportionCovidCases,ConfirmedCovidDeaths,ConfirmedCovidRecovered,Shape__Length,Shape__Area
1597,11,Laois,84697,4/30/2020 0:00,244211,193996,52.9952,-7.3423,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,230,271.5562535,,,398512.4622,4731211499
1598,12,Leitrim,32044,4/30/2020 0:00,200446,319670,54.1261,-7.9939,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,68,212.2082137,,,453253.685,4618679673
1599,13,Limerick,194899,4/30/2020 0:00,149743,141780,52.5255,-8.7412,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,564,289.3806536,,,673892.6905,7206726912
1600,14,Longford,40873,4/30/2020 0:00,220162,275901,53.7325,-7.6952,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,150,366.9904338,,,315245.1728,3097977869
1601,15,Louth,128884,4/30/2020 0:00,299463,297349,53.9161,-6.487,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,667,517.5196301,,,352203.5172,2386326963
1602,16,Mayo,130507,4/30/2020 0:00,117679,297355,53.9191,-9.2537,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,488,373.9263028,,,2101964.077,16036984139
1603,17,Meath,195044,4/30/2020 0:00,284946,271349,53.6851,-6.715,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,687,352.2282152,,,554844.7505,6658570746
1604,18,Monaghan,61386,4/30/2020 0:00,268914,326818,54.1857,-6.9452,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,403,656.5014824,,,392803.0473,3768943157
1605,19,Offaly,77961,4/30/2020 0:00,222690,223679,53.2632,-7.6607,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,293,375.8289401,,,561440.3786,5558826350
1606,20,Roscommon,64544,4/30/2020 0:00,182029,283486,53.8008,-8.2735,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,160,247.8929103,,,622494.1546,7278743876
1607,21,Sligo,65535,4/30/2020 0:00,165130,323355,54.1581,-8.5345,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,118,180.0564584,,,682286.8703,5348370378
